10AM新坐标,2020,12,41.14,东 , 精装,260.0,低楼层,63078.0,丰台,方庄,1,0,29,2005,塔楼
10AM新坐标,2020,12,41.14,东 , 精装,260.0,低楼层,63078.0,朝阳,方庄,1,0,29,2005,塔楼
10号名邸,2020,12,205.96,南 北 , 简装,1450.0,低楼层,70403.0,海淀,紫竹桥,3,2,20,2005,板楼
10号名邸,2020,12,278.95,东 西 北 , 精装,2325.5,顶层,83349.0,海淀,紫竹桥,5,2,20,2005,板楼
11站,2020,12,47.39,北 , 精装,204.0,中楼层,43048.0,通州,梨园,1,0,18,2005,板塔结合
11站,2020,12,66.68,南 , 简装,286.0,中楼层,42892.0,通州,梨园,1,1,18,2005,板塔结合
17号旁门,2015,2,58.01,东 西 , 精装,245.5,低楼层,42234.5,东城,蒲黄榆,2,1,6,1986,板楼
17号旁门,2015,2,58.01,东 西 , 精装,245.5,低楼层,42234.5,丰台,蒲黄榆,2,1,6,1986,板楼
198别墅区,2020,7,337.78,南 北 , 毛坯,1208.0,底层,35763.0,亦庄开发区,大兴其它,4,3,3,2009,板楼
198别墅区,2020,7,337.78,南 北 , 毛坯,1208.0,底层,35763.0,大兴,大兴其它,4,3,3,2009,板楼
263医院家属院,2020,10,78.15,南 北 , 其他,317.0,底层,40564.0,通州,万达,3,1,6,1999,板楼
309医院家属楼,2020,9,77.1,北 南 , 简装,540.0,底层,70039.0,海淀,马连洼,3,1,5,1980,板楼
621小区,2020,12,65.3,南 北 , 精装,385.0,中楼层,58959.0,海淀,清河,2,1,4,1960,板楼
621小区,2020,12,66.9,南 北 西 , 毛坯,375.0,中楼层,56054.0,海淀,清河,2,2,4,1960,板楼
701宿舍,2020,1,53.43,南 北 , 精装,237.5,中楼层,44357.5,朝阳,双桥,2,1,6,1985,板楼
78墅,2020,8,323.27,南 北 , 毛坯,1625.5,底层,50268.0,通州,临河里,4,3,6,2016,
7克拉,2020,12,23.41,东 , 简装,90.5,高楼层,38445.5,丰台,马家堡,1,0,13,2012,板塔结合
8哩岛,2020,12,70.4,东 西 , 简装,266.0,中楼层,37785.0,通州,北关,1,1,10,2010,板楼
8哩岛,2020,12,52.6,东 , 精装,240.0,低楼层,45533.0,通州,北关,1,1,10,2010,板楼
8哩岛,2020,12,166.99,北 南 , 简装,305.5,高楼层,18265.0,通州,北关,4,2,9,2010,板楼
A派公寓,2020,11,80.22,西北 , 精装,622.0,低楼层,77443.0,朝阳,双井,2,1,9,2008,板楼
A派公寓,2020,11,85.87,东北 , 精装,750.0,中楼层,87342.0,朝阳,双井,2,1,16,2008,板塔结合
A派公寓,2020,11,92.62,西南 , 精装,830.5,高楼层,89614.0,朝阳,双井,2,1,9,2008,板楼
BOBO自由城,2020,12,102.25,南 北 , 精装,570.5,底层,55746.5,通州,武夷花园,2,2,5,2004,板楼
CBD传奇,2020,12,65.52,南 北 , 精装,545.0,中楼层,83181.0,朝阳,大望路,1,1,18,2007,板塔结合
CBD传奇,2020,12,37.21,北 , 简装,275.0,高楼层,73905.0,朝阳,大望路,1,0,18,2006,板塔结合
CBD传奇,2020,12,37.77,北 , 精装,280.0,高楼层,74133.0,朝阳,大望路,1,0,12,2007,板楼
CBD传奇,2020,12,88.3,南 北 , 精装,660.5,高楼层,74745.5,朝阳,大望路,2,1,20,2007,板楼
CBD传奇,2020,12,36.96,北 , 简装,276.5,中楼层,74676.0,朝阳,大望路,1,0,18,2007,板塔结合
CBD传奇,2020,12,44.19,东 北 , 精装,326.5,中楼层,73773.0,朝阳,大望路,1,0,20,2007,板楼
CBD国际高尔夫别墅,2020,6,173.04,南 北 , 其他,1164.5,顶层,67268.5,朝阳,百子湾,4,2,3,2005,
CBD国际高尔夫别墅,2020,6,121.0,南 北 , 其他,875.5,底层,72314.5,朝阳,百子湾,2,1,3,2006,
CBD总部公寓一期,2020,12,88.01,西 北 , 简装,675.0,中楼层,76696.0,朝阳,双井,1,1,9,2004,板塔结合
CBD总部公寓二期,2020,11,99.29,南 北 , 精装,860.5,低楼层,86615.5,朝阳,双井,2,2,14,2005,板楼
CLASS,2020,12,189.0,南 北 , 其他,1728.5,底层,91429.0,朝阳,望京,3,1,18,2004,板楼
CRD银座,2020,9,74.49,西 , 精装,299.5,中楼层,40140.0,石景山,鲁谷,3,0,16,2010,板塔结合
CRD银座,2020,9,55.73,南 , 其他,208.5,高楼层,37323.0,石景山,鲁谷,2,0,16,2010,板塔结合
CUV国际公寓,2020,6,78.62,西 , 简装,156.0,中楼层,19843.0,丰台,玉泉营,2,0,17,2010,塔楼
CUV国际公寓,2020,6,66.6,东北 , 简装,82.0,高楼层,12313.0,丰台,玉泉营,2,0,17,2010,塔楼
